respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
1,1,180918,180918,1,0,1,3,13,3,S,3,13,S,3,2,2,1, , , ,2,1,0,2,2,1,1,1, ,2,1,3,1,2,1, , , , , , ,1,1,2,1,2,2,2, , , , ,2,2,1,1,2,1,3,2,2, , , ,1,1, , ,1,1, ,2, ,1,1,2,1, ,2,2,1,2, ,2,3, ,1,3,2,2,3,8,1,3,2,1,2, , , , ,1,56,6,2,4,4, ,1, ,1,3,9,1,3,1,2,1,2,3,1,2,2,2,1, , ,1,1, , ,0.3347769
2,1,180918,180918,1,0,1,3,24,4,S,3,24,S,4,2,2,1, , , ,1,1,0,2,2,2,2,2, ,1,1,3,1,1,1,1,2,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,3,2,9,1,1,1,2, , ,2,2, , ,1, ,9, ,1,1,1,1,2, ,2,1,1, ,2,2, ,1,1,3,2,1,1,1,4, , , , , , ,1,80,8,2,9,9, ,9, , ,5,7,1,2, , ,2,5,5,5,2,2,2,1, , ,1,1, , ,0.3878652
3,1,180920,180918,3,0,1,1,36,2,U,1,36,U,5,2,1,1, , , ,2,2,0,2,2,2,1,2, ,1,1,2,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,2,2,2,1,9,9,3,9,9, , , ,2,2, , ,1,1, ,3, ,9,1,1,1, ,2,9,2,1,2, ,3, ,9,1,1,3,2,2,1,1,4,9,9, , , , ,2,51,6,2,1,1, ,5, , ,4,9,1,2, , ,2,4,5,5,2,2,2,1, , ,1,1, , ,0.5577467
4,1,180918,180918,1,0,1,3,13,4,S,3,13,S,4,1,2,1, , , ,2,1,1,2,2,2,2,2, ,3,1,2,1,1,1, , , , , , ,1,3,1,1,1,3,1, , , , ,2,2,2,1,3,3,2,2,2, , , ,2,2, , ,2,2, ,2, ,2,2,1,1, ,2,1,2,1,2, ,3, ,1,9,1,4,1,8,3,3,4,2,2, , , , ,2,49,5,2,2,2, ,13, ,1,1,6,1,2, , ,2,3,4,4,1, ,1,1, , ,1,1, , ,1.0142931
5,1,180918,180918,1,0,1,1,36,5,U,1,36,U,5,1,2,2, , , ,1,1,0,2,2,2,4,2, ,1,1,2,1,1,1,1,1,1,1,4,4, , , , , , , ,2,2,2,2, , , , ,2,1,2,2,1,1,2,2, , ,2,2, , ,1, ,1, ,2,2,1,2,5, ,2,1,2, ,3,2, ,2,1,4,1,9,1,1,4, , , , , , ,1,37,8,2,1,1, ,13, ,1,3,8,1,1, ,2,1,2,1,1,3,3,3,1, , ,1,1, , ,1.0514367
6,1,180918,180918,1,0,1,3,54,1,R,3,54,R,1,1,2,1, , , ,2,1,1,2,1,1,2,2, ,1,1,1,1,1,4, , , , , , ,1,1,4,1,1,1,1, , , , ,1,1,1,1,2,3,1,5,9, , , ,2,2, , ,2,2, ,1, ,2,1,1,2, ,1,2,1,1,1, ,1, ,1,1,2,2,3,2,1,2,1,2,1,1,3,1,3,1,82,7,2,1,1, ,2, ,2,5,5,1,1, ,1,1,3,2,2,2,2,2,1, , ,1,1, , ,0.2808725
8,1,180918,180918,1,0,1,1,42,2,S,1,42,S,2,1,2,1, , , ,2,2,2,2,1,1,3,1, ,1,1,1,1,1,3, , , , , , ,1,3,1,3,1,3,3, , , , ,1,1,1,1,3,1,3,5,1, , , ,1,1, , ,1,1, ,3, ,1,2,2,1, ,2,2,1,2, ,2,1, ,2,4,2,1,2,2,2,2,2,1,1,3,3,3,3,1,80,3,2,1,1, ,2, ,2,2,2,1,2, , ,2,3,4,4,2,2,2,2,1, ,1,0, , ,2.5463809
9,1,180918,180918,1,0,1,3,37,1,R,3,37,R,1,2,2,1, , , ,1,2,0,2,2,2,4,2, ,1,1,3,1,1,2,2,1,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,4,1,3,1,2,1,2,2, , ,2,2, , ,1, ,2, ,2,1,2,2,2, ,1,1,2, ,3,2, ,2,1,3,2,2,2,4,4, , , , , , ,2,30,3,2,5,4, ,12, , ,2,2,1,3,2, ,2,2,3,4,1, ,1,1, , ,1,1, , ,1.4677813
10,1,180918,180918,1,0,1,3,45,1,R,3,45,R,1,1,2,1, , , ,2,1,0,2,1,1,3,3,3,2,2,9,1,1,2, , , , , , ,2,2,1,2,1,1,1, , , , ,2,9,1,1,3,1,2,9,9, , , ,9,4, , ,4,2, ,4, ,9,1,2,9, ,2,2,1,2, ,2,3, ,1,4,1,2,2,8,1,1,9,1,9, , , , ,1,72,3,2,2,2, ,1, ,1,2,4,1,2, , ,2,3,4,4,2,2,2,1, , ,1,1, , ,1.3725834
12,1,180918,180918,1,0,1,1,42,3,S,1,42,S,3,2,2,1, , , ,1,2,1,2,2,2,2,2, ,1,1,2,1,1,1,1,1,1,1,2,1, , , , , , , ,2,2,2,2, , , , ,3,2,2,1,1,1,2,2, , ,2,2, , ,1, ,2, ,2,1,1,1,2, ,2,1,1, ,3,9, ,2,1,4,1,4,1,1,4, , , , , , ,2,66,4,2,1,1, ,10, , ,6,5,1,2, , ,2,4,5,5,2,2,2,1, , ,1,1, , ,0.4524285
13,1,180918,180918,1,0,1,1,42,3,S,1,42,S,2,2,2,9, , , ,2,2,1,2,2,2,4,3,9,2,2,9,1,1,4, , , , , , ,1,1,3,1,1,1,1, , , , ,2,2,2,2,4,2,3,5,2, , , ,9,9, , ,9,9, ,4, ,2,2,1,1, ,1,5,1,1,2, ,1, ,2,3,2,4,4,8,2,4,4,2,2, , , , ,2,66,3,2,1,1, ,11,1,2,3,3,1,3,9, ,9,3,3, ,2,2,2,1, , ,1,1, , ,1.8097146
15,1,180918,180918,1,0,1,2,39,2,S,2,39,S,2,1,2,2, , , ,2,1,1,2,2,1,3,1, ,2,2,3,3,2,3, , , , , , ,3,1,2,3,2,2,3, , , , ,2,1,3,1,3,3,3,5,1, , , ,1,1, , ,4,1, ,2, ,1,1,9,2, ,1,2,1,1,2, ,3, ,1,4,2,2,3,8,3,2,2,9,9, , , , ,1,58,3,2,1,1, ,1, ,1,4,10,2,1, ,2,1,2,1,1,2,2,2,2,2, ,1,0, , ,2.36249
16,1,180918,180918,1,0,1,2,26,4,S,2,26,S,4,1,2,1, , , ,2,2,1,2,2,2,2,2, ,1,1,3,3,1,2, , , , , , ,2,1,2,1,1,3,1, , , , ,2,2,2,2,2,3,2,2,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,1,2, ,3, ,2,1,1,4,2,1,1,1,4,2,2, , , , ,2,26,6,2,1,1, ,10, , ,4,6,1,3,2, ,2,4,3,5,4,4,3,1, , ,1,1, , ,1.0618439
17,1,180918,180918,1,0,1,3,37,4,R,3,37,R,2,2,2,2, , , ,1,2,1,2,2,1,1,1, ,1,1,3,1,2,1,1,1,1,1,4,4, , , , , , , ,1,1,1,1, , , , ,3,3,2,5,2,2,1,1, , ,1,1, , ,3, ,1, ,2,2,2,2,1, ,1,2, ,1,1,1, ,2,2,2,3,3,1,4,2, , ,4,3,4,4,2,99,6,9,9,9, ,2, ,2,2,10,3,3,1,2,1,1,3,1,2,2,2,9,9, ,1,1, , ,0.4246453
18,1,180918,180918,1,0,1,3,45,3,S,3,45,S,3,1,1,2, , , ,2,2,2,2,2,2,4,9,9,2,2,9,1,1,1, , , , , , ,2,1,3,4,1,1,1, , , , ,2,2,2,1,4,3,4,2,1, , , ,4,2, , ,4,4, ,3, ,9,2,1,1, ,9,1,1,2, ,9,2, ,2,1,1,4,9,2,2,9,4,2,2, , , , ,2,99,7,9,5,4, ,10, , ,6,10,1,2, , ,2,4,5,5,2,2,2,1, , ,1,1, , ,0.6467811
19,1,180918,180918,1,0,1,1,25,3,S,1,25,S,3,1,2,1, , , ,2,2,1,2,2,2,2,1, ,2,2,3,1,1,1, , , , , , ,1,1,1,1,1,3,1, , , , ,2,2,2,2,2,3,3,3,2, , , ,2,1, , ,2,1, ,2, ,2,1,1,1, ,2,2,2,1,2, ,3, ,2,2,2,2,2,2,1,1,4,2,2, , , , ,1,77,4,2,1,1, ,1, ,1,2,2,1,3,9, ,9,4,3, ,1, ,1,2, , ,1,0, , ,0.8045902
20,1,180918,180918,1,0,1,3,54,2,S,3,54,S,2,2,2,1, , , ,1,1,2,2,2,2,2,9,1,2,2,3,1,1,3,1,4,4,1,4,1, , , , , , , ,1,1,1,2, , , , ,3,3,2,3,1,2,3,1, , ,1,1, , ,2, ,1, ,2,1,1,2,2, ,1,1,2, ,2,2, ,1,2,3,3,4,1,1,1, , , , , , ,2,74,3,2,1,1, ,1, ,1,2,6,1,1, ,2,1,2,1,1,2,2,2,1, , ,1,1, , ,0.7932149
