SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDRETH3,RIDEXMON,DMQMILIZ,DMDBORN4,DMDCITZN,DMDEDUC2,DMDMARTL,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
62161,7,2,1,22,3,3,2.0,2.0,1,1.0,3.0,5.0,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,102641.406474,104236.582554,1,91,14.0,14.0,3.15,5,5,0,1,0,2,50,1.0,5.0,1.0,5.0
62162,7,2,2,3,1,1,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,15457.736897,16116.35401,3,92,4.0,4.0,0.6,6,6,2,2,0,2,24,1.0,3.0,6.0,
62163,7,2,1,14,5,6,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7397.684828,7869.485117,3,90,15.0,15.0,4.07,5,5,0,2,1,1,42,1.0,5.0,1.0,4.0
62164,7,2,2,44,3,3,1.0,1.0,1,1.0,4.0,1.0,1,2.0,2,1.0,2.0,2.0,,,,,127351.373299,127965.22620399999,1,94,8.0,8.0,1.67,5,5,1,2,0,1,52,1.0,4.0,1.0,4.0
62165,7,2,2,14,4,4,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,12209.74498,13384.042162,2,90,4.0,4.0,0.57,5,5,1,2,0,2,33,2.0,2.0,77.0,
62166,7,2,1,9,3,3,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,,60593.63668400001,64068.123183,1,91,77.0,77.0,,6,6,0,4,0,1,44,1.0,5.0,1.0,5.0
62167,7,2,1,0,5,6,1.0,,1,1.0,,,1,1.0,1,1.0,2.0,1.0,,,,,5024.464768,5303.683185,2,92,99.0,77.0,,7,4,3,3,1,1,61,2.0,1.0,1.0,3.0
62168,7,2,1,6,5,7,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,5897.024603,6245.043868,2,103,14.0,14.0,3.48,5,5,0,2,1,1,43,1.0,4.0,1.0,5.0
62169,7,2,1,21,5,6,1.0,2.0,1,1.0,3.0,5.0,1,2.0,1,,,,1.0,2.0,2.0,1.0,14391.77847,14783.600953000001,1,92,2.0,2.0,0.33,5,5,0,1,0,1,51,2.0,1.0,4.0,
62170,7,2,1,15,5,7,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7794.52699,8291.636582,3,91,15.0,15.0,5.0,4,4,0,2,0,1,38,2.0,5.0,1.0,5.0
