date,state,fips,cases,deaths
2020-01-21,Washington,53,1,0
2020-01-22,Washington,53,0,0
2020-01-23,Washington,53,0,0
2020-01-24,Illinois,17,1,0
2020-01-24,Washington,53,0,0
2020-01-25,California,6,1,0
2020-01-25,Illinois,17,0,0
2020-01-25,Washington,53,0,0
2020-01-26,Arizona,4,1,0
2020-01-26,California,6,1,0
2020-01-26,Illinois,17,0,0
2020-01-26,Washington,53,0,0
2020-01-27,Arizona,4,0,0
2020-01-27,California,6,0,0
2020-01-27,Illinois,17,0,0
2020-01-27,Washington,53,0,0
2020-01-28,Arizona,4,0,0
2020-01-28,California,6,0,0
2020-01-28,Illinois,17,0,0
2020-01-28,Washington,53,0,0
2020-01-29,Arizona,4,0,0
2020-01-29,California,6,0,0
2020-01-29,Illinois,17,0,0
2020-01-29,Washington,53,0,0
2020-01-30,Arizona,4,0,0
2020-01-30,California,6,0,0
2020-01-30,Illinois,17,1,0
2020-01-30,Washington,53,0,0
2020-01-31,Arizona,4,0,0
2020-01-31,California,6,1,0
2020-01-31,Illinois,17,0,0
2020-01-31,Washington,53,0,0
2020-02-01,Arizona,4,0,0
2020-02-01,California,6,0,0
2020-02-01,Illinois,17,0,0
2020-02-01,Massachusetts,25,1,0
2020-02-01,Washington,53,0,0
2020-02-02,Arizona,4,0,0
2020-02-02,California,6,3,0
2020-02-02,Illinois,17,0,0
2020-02-02,Massachusetts,25,0,0
2020-02-02,Washington,53,0,0
2020-02-03,Arizona,4,0,0
2020-02-03,California,6,0,0
2020-02-03,Illinois,17,0,0
2020-02-03,Massachusetts,25,0,0
2020-02-03,Washington,53,0,0
2020-02-04,Arizona,4,0,0
2020-02-04,California,6,0,0
2020-02-04,Illinois,17,0,0
2020-02-04,Massachusetts,25,0,0
2020-02-04,Washington,53,0,0
2020-02-05,Arizona,4,0,0
2020-02-05,California,6,0,0
2020-02-05,Illinois,17,0,0
2020-02-05,Massachusetts,25,0,0
2020-02-05,Washington,53,0,0
2020-02-05,Wisconsin,55,1,0
2020-02-06,Arizona,4,0,0
2020-02-06,California,6,0,0
2020-02-06,Illinois,17,0,0
2020-02-06,Massachusetts,25,0,0
2020-02-06,Washington,53,0,0
2020-02-06,Wisconsin,55,0,0
2020-02-07,Arizona,4,0,0
2020-02-07,California,6,0,0
2020-02-07,Illinois,17,0,0
2020-02-07,Massachusetts,25,0,0
2020-02-07,Washington,53,0,0
2020-02-07,Wisconsin,55,0,0
2020-02-08,Arizona,4,0,0
2020-02-08,California,6,0,0
2020-02-08,Illinois,17,0,0
2020-02-08,Massachusetts,25,0,0
2020-02-08,Washington,53,0,0
2020-02-08,Wisconsin,55,0,0
2020-02-09,Arizona,4,0,0
2020-02-09,California,6,0,0
2020-02-09,Illinois,17,0,0
2020-02-09,Massachusetts,25,0,0
2020-02-09,Washington,53,0,0
2020-02-09,Wisconsin,55,0,0
2020-02-10,Arizona,4,0,0
2020-02-10,California,6,1,0
2020-02-10,Illinois,17,0,0
2020-02-10,Massachusetts,25,0,0
2020-02-10,Washington,53,0,0
2020-02-10,Wisconsin,55,0,0
2020-02-11,Arizona,4,0,0
2020-02-11,California,6,0,0
2020-02-11,Illinois,17,0,0
2020-02-11,Massachusetts,25,0,0
2020-02-11,Washington,53,0,0
2020-02-11,Wisconsin,55,0,0
2020-02-12,Arizona,4,0,0
2020-02-12,California,6,0,0
2020-02-12,Illinois,17,0,0
2020-02-12,Massachusetts,25,0,0
2020-02-12,Texas,48,1,0
2020-02-12,Washington,53,0,0
2020-02-12,Wisconsin,55,0,0
2020-02-13,Arizona,4,0,0
2020-02-13,California,6,0,0
2020-02-13,Illinois,17,0,0
2020-02-13,Massachusetts,25,0,0
2020-02-13,Texas,48,1,0
2020-02-13,Washington,53,0,0
2020-02-13,Wisconsin,55,0,0
2020-02-14,Arizona,4,0,0
2020-02-14,California,6,0,0
2020-02-14,Illinois,17,0,0
2020-02-14,Massachusetts,25,0,0
2020-02-14,Texas,48,0,0
2020-02-14,Washington,53,0,0
2020-02-14,Wisconsin,55,0,0
2020-02-15,Arizona,4,0,0
2020-02-15,California,6,0,0
2020-02-15,Illinois,17,0,0
2020-02-15,Massachusetts,25,0,0
2020-02-15,Texas,48,0,0
2020-02-15,Washington,53,0,0
2020-02-15,Wisconsin,55,0,0
2020-02-16,Arizona,4,0,0
2020-02-16,California,6,0,0
2020-02-16,Illinois,17,0,0
2020-02-16,Massachusetts,25,0,0
2020-02-16,Texas,48,0,0
2020-02-16,Washington,53,0,0
2020-02-16,Wisconsin,55,0,0
2020-02-17,Arizona,4,0,0
2020-02-17,California,6,0,0
2020-02-17,Illinois,17,0,0
2020-02-17,Massachusetts,25,0,0
2020-02-17,Nebraska,31,10,0
2020-02-17,Texas,48,0,0
2020-02-17,Washington,53,0,0
2020-02-17,Wisconsin,55,0,0
2020-02-18,Arizona,4,0,0
2020-02-18,California,6,0,0
2020-02-18,Illinois,17,0,0
2020-02-18,Massachusetts,25,0,0
2020-02-18,Nebraska,31,0,0
2020-02-18,Texas,48,0,0
2020-02-18,Washington,53,0,0
2020-02-18,Wisconsin,55,0,0
2020-02-19,Arizona,4,0,0
2020-02-19,California,6,0,0
2020-02-19,Illinois,17,0,0
2020-02-19,Massachusetts,25,0,0
2020-02-19,Nebraska,31,0,0
2020-02-19,Texas,48,0,0
2020-02-19,Washington,53,0,0
2020-02-19,Wisconsin,55,0,0
2020-02-20,Arizona,4,0,0
2020-02-20,California,6,1,0
2020-02-20,Illinois,17,0,0
2020-02-20,Massachusetts,25,0,0
2020-02-20,Nebraska,31,1,0
2020-02-20,Texas,48,0,0
2020-02-20,Washington,53,0,0
2020-02-20,Wisconsin,55,0,0
2020-02-21,Arizona,4,0,0
2020-02-21,California,6,1,0
2020-02-21,Illinois,17,0,0
2020-02-21,Massachusetts,25,0,0
2020-02-21,Nebraska,31,0,0
2020-02-21,Texas,48,2,0
2020-02-21,Washington,53,0,0
2020-02-21,Wisconsin,55,0,0
2020-02-22,Arizona,4,0,0
2020-02-22,California,6,0,0
2020-02-22,Illinois,17,0,0
2020-02-22,Massachusetts,25,0,0
2020-02-22,Nebraska,31,0,0
2020-02-22,Texas,48,0,0
2020-02-22,Washington,53,0,0
2020-02-22,Wisconsin,55,0,0
2020-02-23,Arizona,4,0,0
2020-02-23,California,6,0,0
2020-02-23,Illinois,17,0,0
2020-02-23,Massachusetts,25,0,0
2020-02-23,Nebraska,31,0,0
2020-02-23,Texas,48,0,0
2020-02-23,Washington,53,0,0
2020-02-23,Wisconsin,55,0,0
2020-02-24,Arizona,4,0,0
2020-02-24,California,6,2,0
2020-02-24,Illinois,17,0,0
2020-02-24,Massachusetts,25,0,0
2020-02-24,Nebraska,31,1,0
2020-02-24,Texas,48,6,0
2020-02-24,Washington,53,4,0
2020-02-24,Wisconsin,55,0,0
2020-02-25,Arizona,4,0,0
2020-02-25,California,6,0,0
2020-02-25,Illinois,17,0,0
2020-02-25,Massachusetts,25,0,0
2020-02-25,Nebraska,31,1,0
2020-02-25,Texas,48,0,0
2020-02-25,Utah,49,1,0
2020-02-25,Washington,53,0,0
2020-02-25,Wisconsin,55,0,0
2020-02-26,Arizona,4,0,0
